#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         635      -0.772   -0.759276  0.00363338
         636     -0.8496   -0.759418  0.00363045
         637     -0.8504    -0.75956  0.00362756
         638     -0.7688   -0.759575   0.0036219
         639      -0.848   -0.759713  0.00361887
         640     -0.9288   -0.759977  0.00362285
         641     -0.9288   -0.760241  0.00362676
         642     -0.7632   -0.760245  0.00362111
         643     -0.7632    -0.76025  0.00361548
         644     -0.7656   -0.760258  0.00360988
         645     -0.8448   -0.760389  0.00360666
         646     -0.8464   -0.760523  0.00360353
         647     -0.8448   -0.760653  0.00360032
         648      -0.844   -0.760781  0.00359706
         649     -0.8424   -0.760907  0.00359371
         650     -0.8456   -0.761038  0.00359055
         651     -0.8464   -0.761169  0.00358743
         652     -0.8456   -0.761298  0.00358426
         653     -0.7624     -0.7613  0.00357877
         654     -0.6824   -0.761179  0.00357533
         655     -0.6832    -0.76106  0.00357185
         656      -0.764   -0.761065  0.00356641
         657     -0.6824   -0.760945  0.00356299
         658       -0.68   -0.760822   0.0035597
         659     -0.7616   -0.760823   0.0035543
         660       -0.84   -0.760943  0.00355094
         661       -0.84   -0.761063  0.00354758
         662       -0.84   -0.761182  0.00354423
